ID_Observasi,Periode,Tahun,Triwulan,Urutan_Waktu,Kode_Provinsi,Provinsi,Wilayah,Jumlah_Penduduk,Urbanisasi_pct,Kemiskinan_pct,Penetrasi_Internet_pct,Literasi_Keuangan_pct,Rekening_per_1000_Penduduk,Pertumbuhan_Rekening_qoq_pct,Titik_Layanan_per_100rb_Penduduk,ATM_per_100rb_Penduduk,Kantor_Bank_per_100rb_Penduduk,Kredit_terhadap_PDRB_pct,DPK_terhadap_PDRB_pct,Transaksi_Digital_pct,Pertumbuhan_Transaksi_Digital_qoq_pct,Pinjaman_Fintech_per_Kapita_juta,NPL_pct,Shock_Ekonomi,Dimensi_Ketersediaan,Dimensi_Penggunaan,Dimensi_Kedalaman,IKAD_Simulasi,Kategori_IKAD,IKAD_Lag_1,IKAD_Lag_4,IKAD_Rata_Rata_4Q,Pertumbuhan_IKAD_qoq_pct,Pertumbuhan_IKAD_yoy_pct,IKAD_Berikutnya,Kategori_IKAD_Berikutnya,Perubahan_IKAD_Berikutnya,Target_Peningkatan_IKAD,Status_Data
11-1995Q3,1995-Q3,1995,Q3,11,11,Aceh,Sumatera,2384980,49.98,15.87,9.35,36.15,162.05,-5.066,4.09,17.74,3.81,10.86,17.5,7.46,-1.305,0.416,5.38,Normal,1.6032,1.4238,1.731,1.6437,Sedang,1.5919,1.588,1.5626,3.254,3.5076,1.5933,Rendah,-0.0504,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1995Q4,1995-Q4,1995,Q4,12,11,Aceh,Sumatera,2390852,49.72,16.06,10.03,36.33,166.56,2.78,4.14,17.86,4.79,11.06,17.48,7.51,0.721,0.407,5.27,Normal,1.6145,1.6556,1.4819,1.5933,Rendah,1.6437,1.471,1.5931,-3.0663,8.3141,1.6312,Sedang,0.0379,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1996Q1,1996-Q1,1996,Q1,13,11,Aceh,Sumatera,2405828,49.95,16.02,10.14,36.53,173.16,3.965,4.15,15.93,4.58,11.45,18.26,7.66,1.954,0.437,5.23,Normal,1.6308,1.665,1.4352,1.6312,Sedang,1.5933,1.5436,1.615,2.3787,5.675,1.6211,Sedang,-0.0101,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1996Q2,1996-Q2,1996,Q2,14,11,Aceh,Sumatera,2409288,50.02,15.68,10.74,36.62,170.1,-1.77,4.11,18.67,3.81,11.1,18.46,7.78,1.558,0.496,5.28,Normal,1.8626,1.5874,1.5789,1.6211,Sedang,1.6312,1.5919,1.6223,-0.6192,1.8343,1.5816,Rendah,-0.0395,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1996Q3,1996-Q3,1996,Q3,15,11,Aceh,Sumatera,2409429,50.33,15.64,11.58,36.64,185.33,8.955,4.03,17.84,3.97,10.98,18.54,7.51,-3.353,0.537,5.16,Normal,1.6428,1.3687,1.4835,1.5816,Rendah,1.6211,1.6437,1.6068,-2.4366,-3.7781,1.6092,Sedang,0.0276,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1996Q4,1996-Q4,1996,Q4,16,11,Aceh,Sumatera,2415415,50.7,15.53,11.88,36.89,185.03,-0.163,4.12,19.69,3.87,11.69,18.48,8.1,7.724,0.518,5.08,Normal,1.9444,1.5992,1.7209,1.6092,Sedang,1.5816,1.5933,1.6108,1.7451,0.9979,1.5208,Rendah,-0.0884,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1997Q1,1997-Q1,1997,Q1,17,11,Aceh,Sumatera,2419417,50.86,16.06,12.16,36.95,184.98,-0.025,4.12,18.02,4.13,11.23,,8.94,10.421,0.501,5.45,Krisis Asia,1.5406,1.5029,1.4056,1.5208,Rendah,1.6092,1.6312,1.5832,-5.4934,-6.768,1.4847,Rendah,-0.0361,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1997Q2,1997-Q2,1997,Q2,18,11,Aceh,Sumatera,2425871,50.97,16.38,12.85,37.28,178.17,-3.68,4.03,17.45,3.43,11.31,17.54,8.28,-7.337,0.581,5.9,Krisis Asia,1.713,1.303,1.4276,1.4847,Rendah,1.5208,1.6211,1.5491,-2.3738,-8.414,1.4791,Rendah,-0.0056,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1997Q3,1997-Q3,1997,Q3,19,11,Aceh,Sumatera,2435487,51.08,16.57,13.34,37.3,181.38,1.802,4.02,16.57,4.29,10.59,16.55,,-9.735,0.586,6.14,Krisis Asia,1.9625,1.4725,1.2662,1.4791,Rendah,1.4847,1.5816,1.5234,-0.3772,-6.4808,1.5596,Rendah,0.0805,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1997Q4,1997-Q4,1997,Q4,20,11,Aceh,Sumatera,2443801,51.12,16.95,,37.07,176.88,-2.486,4.16,19.05,4.45,10.09,16.63,6.88,-7.934,0.644,6.53,Krisis Asia,1.6407,1.4891,1.5613,1.5596,Rendah,1.4791,1.6092,1.5111,5.4425,-3.0823,1.5121,Rendah,-0.0475,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1998Q1,1998-Q1,1998,Q1,21,11,Aceh,Sumatera,2455135,51.29,17.3,14.3,37.11,171.96,-2.781,4.04,18.48,4.24,9.67,16.79,6.38,-7.363,0.611,6.89,Krisis Asia,1.7594,1.4915,1.4625,1.5121,Rendah,1.5596,1.5208,1.5089,-3.0457,-0.5721,1.4789,Rendah,-0.0332,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1998Q2,1998-Q2,1998,Q2,22,11,Aceh,Sumatera,2459334,51.15,17.69,14.9,37.1,188.26,9.48,4.12,18.53,3.89,9.4,16.72,6.03,-5.448,0.627,7.41,Krisis Asia,1.7983,1.5717,1.3302,1.4789,Rendah,1.5121,1.4847,1.5074,-2.1956,-0.3907,1.6035,Sedang,0.1246,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1998Q3,1998-Q3,1998,Q3,23,11,Aceh,Sumatera,2467197,51.17,17.82,15.31,37.27,210.88,12.015,4.01,19.01,3.98,9.03,16.49,5.11,-15.225,0.649,7.88,Krisis Asia,1.7905,1.5259,1.2617,1.6035,Sedang,1.4789,1.4791,1.5385,8.4252,8.4105,1.6427,Sedang,0.0392,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1998Q4,1998-Q4,1998,Q4,24,11,Aceh,Sumatera,2477586,51.21,18.08,15.28,37.26,206.96,-1.857,4.12,18.89,4.1,8.72,16.4,5.54,8.412,0.657,8.2,Krisis Asia,1.8069,1.3024,1.3492,1.6427,Sedang,1.6035,1.5596,1.5593,2.4447,5.3283,1.6661,Sedang,0.0234,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1999Q1,1999-Q1,1999,Q1,25,11,Aceh,Sumatera,2490809,51.12,18.31,16.06,37.49,225.6,9.006,3.99,18.62,4.21,9.72,15.66,5.81,4.763,0.723,8.2,Normal,1.654,1.8737,1.1692,1.6661,Sedang,1.6427,1.5121,1.5978,1.4245,10.1845,1.5483,Rendah,-0.1178,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1999Q2,1999-Q2,1999,Q2,26,11,ACEH,Sumatera,2500723,51.03,18.5,16.33,37.73,230.01,1.954,4.11,17.94,3.96,9.92,15.75,5.46,-5.979,0.69,8.2,Normal,1.7315,1.5204,1.1553,1.5483,Rendah,1.6661,1.4789,1.6152,-7.0704,4.6927,1.5385,Rendah,-0.0098,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1999Q3,1999-Q3,1999,Q3,27,11,Aceh,Sumatera,2502655,51.17,18.33,,38.15,239.37,4.07,4.29,17.95,4.21,10.24,15.18,5.41,-0.79,0.735,8.06,Normal,1.8155,1.5027,1.2749,1.5385,Rendah,1.5483,1.6035,1.5989,-0.633,-4.0536,1.5681,Rendah,0.0296,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-1999Q4,1999-Q4,1999,Q4,28,11,Aceh,Sumatera,2509625,51.51,18.22,16.64,38.2,248.89,3.979,4.24,18.17,3.94,,15.34,6.11,12.78,0.723,8.02,Normal,1.707,1.7629,1.2379,1.5681,Rendah,1.5385,1.6427,1.5803,1.924,-4.5413,1.5102,Rendah,-0.0579,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2000Q1,2000-Q1,2000,Q1,29,11,Aceh,Sumatera,2523853,,18.23,17.01,,266.72,7.16,4.26,16.4,3.66,10.48,15.32,6.43,5.21,0.682,7.99,Normal,1.8652,1.4441,1.1872,1.5102,Rendah,1.5681,1.6661,1.5413,-3.6924,-9.3572,1.4059,Rendah,-0.1043,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2000Q2,2000-Q2,2000,Q2,30,11,Aceh,Sumatera,2534309,51.78,18.15,17.54,37.92,248.08,-6.986,4.36,18.83,4.68,11.25,15.52,6.49,1.025,0.719,7.86,Normal,1.7998,1.5619,1.0743,1.4059,Rendah,1.5102,1.5483,1.5057,-6.9064,-9.1972,1.4554,Rendah,0.0495,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2000Q3,2000-Q3,2000,Q3,31,11,Aceh,Sumatera,2541737,52.13,18.02,17.42,38.4,243.56,-1.823,4.39,18.29,4.5,11.8,15.83,7.15,10.204,0.692,8.0,Normal,1.991,1.4777,1.3957,1.4554,Rendah,1.4059,1.5385,1.4849,3.5209,-5.4014,1.4526,Rendah,-0.0028,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2000Q4,2000-Q4,2000,Q4,32,11,Aceh,Sumatera,2548176,52.21,18.28,18.11,38.4,246.23,1.097,4.45,17.58,3.76,11.7,16.46,7.16,0.044,0.672,8.01,Normal,1.6165,1.4256,1.4133,1.4526,Rendah,1.4554,1.5681,1.456,-0.1924,-7.3656,1.4721,Rendah,0.0195,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2001Q1,2001-Q1,2001,Q1,33,11,Aceh,Sumatera,2555645,52.51,18.23,18.37,38.25,243.38,-1.159,4.49,19.24,3.86,12.23,16.63,7.23,1.003,0.703,7.94,Normal,1.7298,1.5715,1.5493,1.4721,Rendah,1.4526,1.5102,1.4465,1.3424,-2.5228,1.5773,Rendah,0.1052,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2001Q2,2001-Q2,2001,Q2,34,11,Aceh,Sumatera,2560318,52.64,18.17,18.5,38.59,249.35,2.452,4.42,18.86,4.09,12.72,17.47,8.71,20.459,0.64,8.0,Normal,1.6179,1.6555,1.3454,1.5773,Rendah,1.4721,1.4059,1.4893,7.1463,12.1915,1.6103,Sedang,0.033,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2001Q3,2001-Q3,2001,Q3,35,11,Aceh,Sumatera,2571652,52.78,18.01,,38.43,256.18,2.743,4.35,20.21,4.39,12.81,17.96,8.82,1.294,0.661,7.97,Normal,1.8342,1.8373,1.3791,1.6103,Sedang,1.5773,1.4554,1.5281,2.0922,10.6431,1.6341,Sedang,0.0238,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2001Q4,2001-Q4,2001,Q4,36,11,Aceh,Sumatera,2576091,52.83,18.06,18.96,38.61,268.01,4.615,4.4,16.64,4.07,12.62,18.44,9.98,13.111,0.679,8.0,Normal,1.74,1.6472,1.5198,1.6341,Sedang,1.6103,1.4526,1.5735,1.478,12.4948,1.5381,Rendah,-0.096,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2002Q1,2002-Q1,2002,Q1,37,11,Aceh,Sumatera,2585852,52.96,17.73,19.07,39.05,271.28,1.22,4.49,18.16,3.86,12.61,18.38,10.6,6.218,0.718,7.94,Normal,1.7735,1.5978,1.3777,1.5381,Rendah,1.6341,1.4721,1.5899,-5.8748,4.4834,1.5039,Rendah,-0.0342,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2002Q2,2002-Q2,2002,Q2,38,11,Aceh,Sumatera,2589756,53.11,17.64,19.51,39.51,278.87,2.797,4.35,17.19,4.51,12.47,17.4,10.98,3.646,0.69,7.86,Normal,1.7527,1.744,1.5771,1.5039,Rendah,1.5381,1.5773,1.5716,-2.2235,-4.6535,1.6446,Sedang,0.1407,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2002Q3,2002-Q3,2002,Q3,39,11,Aceh,Sumatera,2593574,53.12,17.62,19.74,39.86,274.56,-1.546,4.27,17.01,3.98,12.23,17.67,11.76,7.049,0.722,,Normal,1.7823,1.5709,1.3837,1.6446,Sedang,1.5039,1.6103,1.5802,9.3557,2.13,1.6967,Sedang,0.0521,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2002Q4,2002-Q4,2002,Q4,40,11,Aceh,Sumatera,2598823,53.22,17.58,19.72,39.75,265.78,-3.195,4.45,18.04,4.37,12.74,17.6,12.05,2.519,0.757,7.68,Normal,1.7496,1.8078,1.5212,1.6967,Sedang,1.6446,1.6341,1.5958,3.1679,3.8309,1.6141,Sedang,-0.0826,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2003Q1,2003-Q1,2003,Q1,41,11,Aceh,Sumatera,2605793,53.2,17.14,20.14,39.87,279.64,5.212,4.59,18.17,4.34,12.82,17.39,12.54,4.018,0.763,7.78,Normal,1.7042,1.7388,1.4377,1.6141,Sedang,1.6967,1.5381,1.6148,-4.8683,4.9412,1.6567,Sedang,0.0426,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2003Q2,2003-Q2,2003,Q2,42,11,Aceh,Sumatera,2613235,53.2,16.81,20.23,39.91,294.83,5.434,4.37,18.3,4.0,12.65,16.99,12.02,-4.127,0.748,7.75,Normal,1.711,1.7587,1.5798,1.6567,Sedang,1.6141,1.5039,1.653,2.6392,10.1603,1.7058,Sedang,0.0491,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2003Q3,2003-Q3,2003,Q3,43,11,Aceh,Sumatera,2625105,53.41,16.64,20.68,40.11,304.49,3.277,4.41,18.47,3.76,12.94,16.08,12.05,0.262,0.792,7.61,Normal,1.9422,1.7352,1.4566,1.7058,Sedang,1.6567,1.6446,1.6683,2.9637,3.7213,1.7472,Sedang,0.0414,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2003Q4,2003-Q4,2003,Q4,44,11,ACEH,Sumatera,2634273,53.73,16.83,,39.88,294.95,-3.134,4.42,19.04,4.2,12.73,17.08,12.67,5.122,0.88,7.7,Normal,1.6998,1.7756,1.4455,1.7472,Sedang,1.7058,1.6967,1.681,2.427,2.9764,1.7652,Sedang,0.018,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2004Q1,2004-Q1,2004,Q1,45,11,Aceh,Sumatera,2641864,53.74,16.82,21.61,40.02,288.67,-2.128,147.42,19.33,4.48,12.67,,12.32,-2.715,0.899,7.68,Normal,1.7394,1.7123,1.5536,1.7652,Sedang,1.7472,1.6141,1.7187,1.0302,9.3613,1.7468,Sedang,-0.0184,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2004Q2,2004-Q2,2004,Q2,46,11,Aceh,Sumatera,2650488,53.71,16.59,22.42,40.44,294.5,2.02,4.36,19.05,4.17,12.75,17.91,12.86,4.345,0.899,7.95,Normal,1.9321,1.6405,1.3247,1.7468,Sedang,1.7652,1.6567,1.7412,-1.0424,5.4385,1.7472,Sedang,0.0004,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2004Q3,2004-Q3,2004,Q3,47,11,Aceh,Sumatera,2662585,53.86,16.43,23.06,40.45,294.81,0.105,,18.68,3.93,12.67,18.11,12.87,0.045,0.884,7.8,Normal,1.9211,1.8126,1.5548,1.7472,Sedang,1.7468,1.7058,1.7516,0.0229,2.427,1.675,Sedang,-0.0722,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2004Q4,2004-Q4,2004,Q4,48,11,Aceh,Sumatera,2668499,53.83,16.47,23.3,40.41,296.71,0.645,4.4,16.9,4.03,13.06,19.19,14.08,9.402,0.958,7.8,Normal,1.7316,1.7713,1.5738,1.675,Sedang,1.7472,1.7472,1.7335,-4.1323,-4.1323,1.6647,Sedang,-0.0103,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2005Q1,2005-Q1,2005,Q1,49,11,ACEH,Sumatera,2674547,53.98,16.29,23.79,40.45,293.95,-0.931,4.4,17.77,4.68,12.72,19.55,13.76,-2.277,0.977,7.79,Normal,1.9057,1.6539,1.4969,1.6647,Sedang,1.675,1.7652,1.7084,-0.6149,-5.6934,1.6093,Sedang,-0.0554,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2005Q2,2005-Q2,2005,Q2,50,11,Aceh,Sumatera,2683868,54.09,16.21,23.8,40.73,289.42,-1.542,4.61,19.13,4.23,12.82,20.02,13.84,0.646,1.056,7.89,Normal,1.9141,1.7724,1.3512,1.6093,Sedang,1.6647,1.7468,1.6741,-3.3279,-7.8715,1.6346,Sedang,0.0253,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2005Q3,2005-Q3,2005,Q3,51,11,Aceh,Sumatera,2693854,53.98,15.93,24.43,40.79,278.34,-3.828,4.66,18.6,4.77,12.99,21.0,13.45,-2.853,1.03,7.93,Normal,1.8948,2.0145,1.5138,1.6346,Sedang,1.6093,1.7472,1.6459,1.5721,-6.4446,1.5839,Rendah,-0.0507,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2005Q4,2005-Q4,2005,Q4,52,11,Aceh,Sumatera,2696590,53.97,15.45,24.53,41.14,284.34,2.157,4.55,20.15,4.29,13.25,21.8,13.83,2.803,1.032,8.05,Normal,1.8588,1.5301,1.6655,1.5839,Rendah,1.6346,1.675,1.6231,-3.1017,-5.4388,1.5829,Rendah,-0.001,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2006Q1,2006-Q1,2006,Q1,53,11,Aceh,Sumatera,2714089,54.14,15.39,25.52,41.46,278.35,-2.107,4.67,19.6,4.46,13.3,22.77,14.23,2.93,1.067,7.87,Normal,1.6685,1.9327,1.4572,1.5829,Rendah,1.5839,1.6647,1.6027,-0.0631,-4.9138,1.6536,Sedang,0.0707,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2006Q2,2006-Q2,2006,Q2,54,11,Aceh,Sumatera,2720995,54.43,15.35,25.75,41.84,278.98,0.226,4.73,19.66,4.91,13.42,23.18,,-2.6,1.025,7.95,Normal,1.8045,1.6266,1.5438,1.6536,Sedang,1.5829,1.6093,1.6138,4.4665,2.7527,1.6756,Sedang,0.022,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2006Q3,2006-Q3,2006,Q3,55,11,Aceh,Sumatera,2732388,54.47,15.65,26.12,42.11,283.98,1.793,4.53,18.67,4.18,13.38,22.97,14.32,3.281,1.045,8.04,Normal,1.6929,1.6531,1.615,1.6756,Sedang,1.6536,1.6346,1.624,1.3304,2.5083,1.7582,Sedang,0.0826,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2006Q4,2006-Q4,2006,Q4,56,11,Aceh,Sumatera,2738965,,15.96,26.57,42.36,292.12,2.866,4.67,19.42,5.07,13.56,22.4,15.44,7.852,1.089,8.03,Normal,1.8616,1.8336,1.4855,1.7582,Sedang,1.6756,1.5839,1.6676,4.9296,11.0045,1.7662,Sedang,0.008,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2007Q1,2007-Q1,2007,Q1,57,11,Aceh,Sumatera,2745377,54.81,15.88,26.89,,304.95,4.391,4.52,20.01,3.56,14.32,22.82,16.27,5.356,1.184,7.98,Normal,1.736,1.8853,1.5799,1.7662,Sedang,1.7582,1.5829,1.7134,0.455,11.58,1.7979,Sedang,0.0317,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2007Q2,2007-Q2,2007,Q2,58,11,Aceh,Sumatera,2750132,54.9,16.08,27.61,42.61,317.17,4.01,4.64,18.06,4.37,14.17,23.25,16.84,3.506,1.171,8.11,Normal,1.7309,1.8426,1.6887,1.7979,Sedang,1.7662,1.6536,1.7495,1.7948,8.7264,1.6987,Sedang,-0.0992,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2007Q3,2007-Q3,2007,Q3,59,11,Aceh,Sumatera,2757637,55.12,16.0,28.31,42.78,327.11,3.134,,18.71,4.56,14.42,23.2,16.61,-1.332,1.187,,Normal,1.9911,1.7188,1.2824,1.6987,Sedang,1.7979,1.6756,1.7553,-5.5175,1.3786,1.8664,Tinggi,0.1677,1,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2007Q4,2007-Q4,2007,Q4,60,11,Aceh,Sumatera,2765043,55.23,16.18,,42.99,339.56,3.804,,18.53,4.39,14.91,23.12,16.94,1.984,1.241,7.88,Normal,1.9247,1.9639,1.667,1.8664,Tinggi,1.6987,1.7582,1.7823,9.8723,6.154,1.8462,Sedang,-0.0202,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
11-2008Q1,2008-Q1,2008,Q1,61,11,Aceh,Sumatera,2768410,55.51,16.48,28.7,43.27,332.72,-2.014,4.81,18.0,4.58,,23.59,17.42,2.805,1.258,8.02,Krisis Global,1.7663,1.7358,1.5717,1.8462,Sedang,1.8664,1.7662,1.8023,-1.0823,4.5295,1.8025,Sedang,-0.0437,0,DATA SIMULASI UNTUK PELATIHAN — BUKAN NILAI RESMI OJK
